timestamp,perc coverage,coverage (km+AF4-2)
2005+AC0-04+AC0-04,0.1986066789,1601110.788
2005+AC0-04+AC0-05,0.1986066789,1601110.788
2005+AC0-04+AC0-06,0.2016799131,1625886.33167
2005+AC0-04+AC0-07,0.2016799131,1625886.33167
2005+AC0-04+AC0-08,0.1853162459,1493967.08153
2005+AC0-04+AC0-09,0.1956244639,1577069.01484
2005+AC0-04+AC0-10,0.2155392725,1737616.56098
2005+AC0-04+AC0-11,0.2155392725,1737616.56098
2005+AC0-04+AC0-12,0.2155392725,1737616.56098
2005+AC0-04+AC0-13,0.2155392725,1737616.56098
2005+AC0-04+AC0-14,0.2129994296,1717141.0672
2005+AC0-04+AC0-15,0.1905311154,1536007.8825
2005+AC0-04+AC0-16,0.1796079055,1447948.05783
2005+AC0-04+AC0-17,0.1740179695,1402883.57732
2005+AC0-04+AC0-18,0.1727516834,1392675.13792
2005+AC0-04+AC0-19,0.1548275281,1248175.67482
2005+AC0-04+AC0-20,0.1407529787,1134710.64425
2005+AC0-04+AC0-21,0.1407016401,1134296.76711
2005+AC0-04+AC0-22,0.1407016401,1134296.76711
2005+AC0-04+AC0-23,0.1407016401,1134296.76711
2005+AC0-04+AC0-24,0.1407016401,1134296.76711
2005+AC0-04+AC0-25,0.1345764429,1084917.16241
2005+AC0-04+AC0-26,0.1345764429,1084917.16241
2005+AC0-04+AC0-27,0.1285014442,1035942.24373
2005+AC0-04+AC0-28,0.1285084858,1035999.01107
2005+AC0-04+AC0-29,0.1273042922,1026291.14318
2005+AC0-04+AC0-30,0.1445969718,1165699.82753
2005+AC0-05+AC0-01,0.1431090263,1153704.43277
2005+AC0-05+AC0-02,0.1431090263,1153704.43277
2005+AC0-05+AC0-03,0.1431090263,1153704.43277
2005+AC0-05+AC0-04,0.1296702993,1045365.22205
2005+AC0-05+AC0-05,0.1271582904,1025114.11853
2005+AC0-05+AC0-06,0.1251802362,1009167.60555
2005+AC0-05+AC0-07,0.1250591278,1008191.2636
2005+AC0-05+AC0-08,0.1250591278,1008191.2636
2005+AC0-05+AC0-09,0.1258697969,1014726.64815
2005+AC0-05+AC0-10,0.1253791217,1010770.96369
2005+AC0-05+AC0-11,0.1232739638,993799.777059
2005+AC0-05+AC0-12,0.1232739638,993799.777059
2005+AC0-05+AC0-13,0.1232739638,993799.777059
2005+AC0-05+AC0-14,0.1179370639,950775.201884
2005+AC0-05+AC0-15,0.1164255266,938589.6166
2005+AC0-05+AC0-16,0.1164255266,938589.6166
2005+AC0-05+AC0-17,0.1164255266,938589.6166
2005+AC0-05+AC0-18,0.1164255266,938589.6166
2005+AC0-05+AC0-19,0.1164255266,938589.6166
2005+AC0-05+AC0-20,0.1182251397,953097.587775
2005+AC0-05+AC0-21,0.1182251397,953097.587775
2005+AC0-05+AC0-22,0.1182251397,953097.587775
2005+AC0-05+AC0-23,0.1182251397,953097.587775
2005+AC0-05+AC0-24,0.1182251397,953097.587775
2005+AC0-05+AC0-25,0.1182251397,953097.587775
2005+AC0-05+AC0-26,0.1182251397,953097.587775
2005+AC0-05+AC0-27,0.1154776192,930947.855631
2005+AC0-05+AC0-28,0.1113024978,897289.209349
2005+AC0-05+AC0-29,0.1023995667,825516.301171
2005+AC0-05+AC0-30,0.0972114741,783691.367998
2005+AC0-05+AC0-31,0.0972114741,783691.367998
2005+AC0-06+AC0-01,0.0972114741,783691.367998
2005+AC0-06+AC0-02,0.0969096475,781258.127083
2005+AC0-06+AC0-03,0.0969096475,781258.127083
2005+AC0-06+AC0-05,0.0966535911,779193.873133
2005+AC0-06+AC0-06,0.0966535911,779193.873133
2005+AC0-06+AC0-07,0.0966535911,779193.873133
2005+AC0-06+AC0-08,0.0966535911,779193.873133
2005+AC0-06+AC0-09,0.0966535911,779193.873133
2005+AC0-06+AC0-10,0.0966535911,779193.873133
2005+AC0-06+AC0-11,0.0966535911,779193.873133
2005+AC0-06+AC0-12,0.0966535911,779193.873133
2005+AC0-06+AC0-13,0.0966535911,779193.873133
2005+AC0-06+AC0-14,0.0966535911,779193.873133
2005+AC0-06+AC0-15,0.0966535911,779193.873133
